filter_type,ef,query_id,selectivity,selectivity_bucket,top_layer,total_visited,bottom_visited,bottom_visited_frac,layer_0_visited,layer_1_visited,layer_2_visited,layer_3_visited,layer_4_visited,layer_5_visited,layer_6_visited,layer_7_visited,layer_8_visited,layer_0_candidates,layer_1_candidates,layer_2_candidates,layer_3_candidates,layer_4_candidates,layer_5_candidates,layer_6_candidates,layer_7_candidates,layer_8_candidates
containment,1000,52,0.722501,[0.5,1.0],8,14525,2832,0.194974,2832,0,0,0,930,2765,2425,3000,2573,62,0,0,0,12,66,135,317,408
containment,1000,53,5.19767e-05,[0,0.001),8,52,13,0.25,13,0,0,0,4,1,0,0,34,13,0,0,0,4,1,0,0,34
containment,1000,54,0.00755761,[0.001,0.01),8,5320,2750,0.516917,2750,0,0,5,851,802,281,112,519,402,0,0,0,143,220,102,50,83
containment,1000,55,0.0210876,[0.01,0.1),8,7295,3749,0.513914,3749,0,0,3,800,1314,494,374,561,356,0,0,0,58,227,146,163,50
containment,1000,56,0.240857,[0.1,0.5),8,13449,3436,0.255484,3436,0,0,8,1440,3134,2144,2021,1266,92,0,0,0,35,174,187,311,201
containment,1000,57,0.101002,[0.1,0.5),8,12657,4478,0.353796,4478,0,0,9,1790,3145,1521,847,867,214,0,0,0,82,230,191,161,122
containment,1000,58,0.0241562,[0.01,0.1),8,8803,3707,0.421106,3707,0,0,24,1571,1752,773,431,545,228,0,0,0,119,295,193,128,37
containment,1000,59,3.99821e-05,[0,0.001),8,40,8,0.2,8,0,0,0,0,3,0,0,29,8,0,0,0,0,3,0,0,29
containment,1000,60,0.0443231,[0.01,0.1),8,9248,4247,0.459234,4247,0,0,39,1768,1774,578,257,585,293,0,0,0,137,272,148,100,50
containment,1000,61,0.0721757,[0.01,0.1),8,10826,4384,0.404951,4384,0,0,16,1646,2421,1127,600,632,209,0,0,0,96,249,219,163,64
containment,1000,62,0.0253177,[0.01,0.1),8,8105,3870,0.477483,3870,0,0,14,1221,1453,642,352,553,298,0,0,0,129,261,181,92,39
containment,1000,63,0.144289,[0.1,0.5),8,14212,3769,0.265198,3769,0,0,5,1724,3692,2254,1631,1137,142,0,0,0,39,194,212,231,182
containment,1000,64,0.252526,[0.1,0.5),8,10904,4083,0.37445,4083,0,0,9,1279,2158,1184,1113,1078,191,0,0,0,38,176,208,239,148
containment,1000,65,0.037942,[0.01,0.1),8,11194,3854,0.344292,3854,0,0,1,1184,2224,1636,1646,649,200,0,0,0,58,177,209,277,79
containment,1000,66,0.0013374,[0.001,0.01),8,1336,674,0.504491,674,0,0,1,123,105,15,5,413,481,0,0,1,95,96,13,5,309
containment,1000,67,0.0360988,[0.01,0.1),8,10223,4007,0.391959,4007,0,0,23,1679,2209,972,734,599,212,0,0,0,119,259,181,169,60
containment,1000,68,0.0277925,[0.01,0.1),8,9467,3532,0.373085,3532,0,0,6,1182,2048,1121,987,591,195,0,0,1,77,237,210,223,57
containment,1000,69,0.00511371,[0.001,0.01),8,4211,1725,0.409641,1725,0,0,10,682,745,348,191,510,312,0,0,3,146,219,135,70,115
containment,1000,70,0.722501,[0.5,1.0],8,14458,2763,0.191105,2763,0,0,0,1036,3548,2616,2476,2019,78,0,0,0,8,91,165,329,329
containment,1000,71,0.126858,[0.1,0.5),8,12304,4272,0.347204,4272,0,0,15,1732,2837,1448,1137,863,137,0,0,0,44,205,226,257,131
containment,1000,72,9.49575e-05,[0,0.001),8,95,21,0.221053,21,0,0,0,5,5,0,0,64,21,0,0,0,5,5,0,0,64
containment,1000,73,0.00185017,[0.001,0.01),8,1820,932,0.512088,932,0,0,14,198,141,25,10,500,465,0,0,6,121,117,21,7,263
containment,1000,74,0.00139138,[0.001,0.01),8,1383,576,0.416486,576,0,0,4,129,133,27,12,502,382,0,0,3,102,109,27,12,365
containment,1000,75,0.0301085,[0.01,0.1),8,7777,3723,0.478719,3723,0,0,1,804,1192,686,785,586,339,0,0,0,68,148,163,228,54
containment,1000,76,5.7974e-05,[0,0.001),8,58,9,0.155172,9,0,0,0,7,2,0,0,40,9,0,0,0,7,2,0,0,40
containment,1000,77,0.252526,[0.1,0.5),8,13168,3949,0.299894,3949,0,0,7,1915,3414,1609,1230,1044,146,0,0,0,35,210,210,239,160
containment,1000,78,0.722501,[0.5,1.0],8,15332,2278,0.148578,2278,0,0,1,906,3351,3043,3184,2569,49,0,0,0,4,76,144,327,400
containment,1000,79,0.361036,[0.1,0.5),8,11917,4093,0.343459,4093,0,0,4,1158,2377,1481,1639,1165,150,0,0,0,36,159,165,294,196
containment,1000,80,0.0029037,[0.001,0.01),8,2713,1288,0.474751,1288,0,0,17,370,360,124,50,504,396,0,0,6,142,167,82,27,180
containment,1000,81,0.000549754,[0,0.001),8,550,201,0.365455,201,0,0,4,52,47,10,3,233,201,0,0,4,52,47,10,3,233
containment,1000,82,0.00701786,[0.001,0.01),8,5199,2677,0.514907,2677,0,0,6,840,733,299,128,516,412,0,0,0,148,192,107,53,88
containment,1000,83,0.0145785,[0.01,0.1),8,8057,3219,0.399528,3219,0,0,24,1411,1678,768,420,537,246,0,0,0,130,275,172,114,63
containment,1000,84,0.0173432,[0.01,0.1),8,7958,3661,0.46004,3661,0,0,2,1024,1596,644,481,550,282,0,0,0,107,233,159,159,60
containment,1000,85,0.00184817,[0.001,0.01),8,1804,861,0.477273,861,0,0,11,206,195,27,3,501,443,0,0,2,133,145,20,3,254
containment,1000,86,0.0002229,[0,0.001),8,223,85,0.381166,85,0,0,0,12,7,1,0,118,85,0,0,0,12,7,1,0,118
containment,1000,87,0.722501,[0.5,1.0],8,15731,1865,0.118556,1865,0,0,1,708,2922,3145,3745,3345,61,0,0,0,1,60,148,372,358
containment,1000,88,0.00744866,[0.001,0.01),8,5490,2283,0.415847,2283,0,0,17,917,1081,507,177,508,309,0,0,0,151,242,146,81,71
containment,1000,89,0.722501,[0.5,1.0],8,14411,2962,0.205537,2962,0,0,0,699,2376,2375,2985,3014,93,0,0,0,12,94,165,285,351
containment,1000,90,0.00148234,[0.001,0.01),8,1452,531,0.365702,531,0,0,4,143,180,72,21,501,331,0,0,3,103,138,65,20,340
containment,1000,91,0.000879606,[0,0.001),8,880,341,0.3875,341,0,0,0,57,55,21,5,401,341,0,0,0,57,55,21,5,401
containment,1000,92,9.19588e-05,[0,0.001),8,92,36,0.391304,36,0,0,0,7,3,1,0,45,36,0,0,0,7,3,1,0,45
containment,1000,93,0.000795644,[0,0.001),8,796,369,0.463568,369,0,0,0,59,51,17,0,300,369,0,0,0,59,51,17,0,300
containment,1000,94,0.722501,[0.5,1.0],8,13529,3109,0.229803,3109,0,0,1,1082,2939,2155,2228,2015,52,0,0,0,14,93,159,310,372
containment,1000,95,0.00701686,[0.001,0.01),8,4947,2411,0.487366,2411,0,0,13,908,803,232,74,506,343,0,0,2,158,254,111,44,88
containment,1000,96,0.722501,[0.5,1.0],8,12609,3493,0.277024,3493,0,0,1,1013,2807,2005,1834,1456,92,0,0,0,3,100,201,300,304
containment,1000,97,0.00371733,[0.001,0.01),8,3225,1551,0.48093,1551,0,0,1,502,478,135,47,511,397,0,0,0,146,222,64,21,150
containment,1000,98,0.00801741,[0.001,0.01),8,5191,2527,0.486804,2527,0,0,28,1003,792,266,59,516,322,0,0,1,196,243,125,28,85
containment,1000,99,0.0229157,[0.01,0.1),8,8464,4277,0.505317,4277,0,0,3,1248,1589,547,224,576,371,0,0,0,116,220,128,93,72
containment,1000,100,0.0159958,[0.01,0.1),8,7822,3611,0.461647,3611,0,0,31,1262,1522,603,259,534,280,0,0,1,151,290,149,89,40
containment,1000,101,0.0561728,[0.01,0.1),8,12248,4463,0.364386,4463,0,0,7,1802,2967,1527,811,671,226,0,0,0,95,256,219,143,61
containment,1000,102,0.0126773,[0.01,0.1),8,5892,3046,0.516972,3046,0,0,50,1063,897,252,70,514,304,0,0,1,182,295,133,40,45
containment,1000,103,0.000810637,[0,0.001),8,811,318,0.392109,318,0,0,0,49,59,5,10,370,318,0,0,0,49,59,5,10,370
containment,1000,104,0.722501,[0.5,1.0],8,14577,2649,0.181725,2649,0,0,2,745,2432,2220,3135,3394,88,0,0,0,12,78,147,275,400
containment,1000,105,1.89915e-05,[0,0.001),8,19,3,0.157895,3,0,0,0,1,1,0,0,14,3,0,0,0,1,1,0,0,14
containment,1000,106,0.0443231,[0.01,0.1),8,8431,3993,0.473609,3993,0,0,48,1500,1615,549,185,541,266,0,0,0,114,312,196,70,42
containment,1000,107,0.00532461,[0.001,0.01),8,4229,1787,0.422559,1787,0,0,9,685,766,283,189,510,301,0,0,1,139,241,121,97,100
containment,1000,108,0.00522766,[0.001,0.01),8,4063,2087,0.51366,2087,0,0,49,656,580,137,45,509,409,0,0,7,181,217,65,22,99
containment,1000,109,0.000614725,[0,0.001),8,615,231,0.37561,231,0,0,9,48,54,10,2,261,231,0,0,9,48,54,10,2,261
containment,1000,110,0.0175571,[0.01,0.1),8,6828,3379,0.494874,3379,0,0,42,1247,1239,333,72,516,304,0,0,0,168,315,138,41,34
containment,1000,111,0.00221501,[0.001,0.01),8,2094,1013,0.483763,1013,0,0,14,282,217,52,15,501,422,0,0,3,141,156,42,15,221
containment,1000,112,0.722501,[0.5,1.0],8,14196,2841,0.200127,2841,0,0,0,843,3018,2564,2654,2276,67,0,0,0,5,67,172,325,364
containment,1000,113,0.0175571,[0.01,0.1),8,7601,3571,0.469807,3571,0,0,57,1566,1366,406,104,531,310,0,0,1,192,284,117,50,46
containment,1000,114,0.0135049,[0.01,0.1),8,7521,3691,0.490759,3691,0,0,18,1306,1284,484,215,523,342,0,0,0,154,228,147,84,45
containment,1000,115,0.0297027,[0.01,0.1),8,9312,4004,0.429983,4004,0,0,38,1698,1943,726,320,583,252,0,0,0,136,302,150,99,61
containment,1000,116,2.29897e-05,[0,0.001),8,23,3,0.130435,3,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,20
containment,1000,117,0.0250928,[0.01,0.1),8,8326,3701,0.444511,3701,0,0,32,1331,1663,701,325,573,283,0,0,0,113,269,183,91,61
containment,1000,118,0.722501,[0.5,1.0],8,15904,1622,0.101987,1622,0,0,0,527,2488,3138,4301,3828,49,0,0,0,6,51,157,309,428
containment,1000,119,1.39937e-05,[0,0.001),8,14,2,0.142857,2,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,12
containment,1000,120,0.000678696,[0,0.001),8,678,279,0.411504,279,0,0,9,69,41,3,3,274,279,0,0,9,69,41,3,3,274
containment,1000,121,0.0721757,[0.01,0.1),8,12224,4295,0.351358,4295,0,0,16,1724,3010,1499,938,742,198,0,0,0,68,243,213,189,89
containment,1000,122,0.000285872,[0,0.001),8,286,100,0.34965,100,0,0,0,23,17,1,1,144,100,0,0,0,23,17,1,1,144
containment,1000,123,0.0013394,[0.001,0.01),8,1332,660,0.495495,660,0,0,4,135,97,18,3,415,474,0,0,3,114,84,17,3,305
containment,1000,124,6.39713e-05,[0,0.001),8,64,15,0.234375,15,0,0,0,5,2,0,0,42,15,0,0,0,5,2,0,0,42
containment,1000,125,0.0842872,[0.01,0.1),8,10266,4108,0.400156,4108,0,0,3,1398,2421,1117,564,655,204,0,0,0,72,297,214,149,64
containment,1000,126,0.000816634,[0,0.001),8,817,292,0.357405,292,0,0,0,50,53,16,10,396,292,0,0,0,50,53,16,10,396
containment,1000,127,0.0217752,[0.01,0.1),8,8842,4101,0.463809,4101,0,0,7,1241,1805,723,416,549,292,0,0,0,103,251,175,132,47
containment,1000,128,0.0264961,[0.01,0.1),8,10121,4092,0.404308,4092,0,0,3,1454,2380,951,667,574,273,0,0,0,101,250,185,146,45
containment,1000,129,0.0587587,[0.01,0.1),8,9589,4186,0.436542,4186,0,0,25,1776,1988,703,303,608,267,0,0,0,123,290,166,100,54
containment,1000,130,0.00202609,[0.001,0.01),8,1935,899,0.464599,899,0,0,6,230,216,66,18,500,392,0,0,5,134,160,54,16,239
containment,1000,131,0.0126333,[0.01,0.1),8,6805,3278,0.481705,3278,0,0,8,1229,1224,404,141,521,325,0,0,0,168,262,123,62,60
containment,1000,132,0.0111,[0.01,0.1),8,5906,2742,0.464274,2742,0,0,22,1122,961,373,162,524,281,0,0,2,170,265,145,79,58
containment,1000,133,0.033525,[0.01,0.1),8,10213,4304,0.421424,4304,0,0,19,1617,2205,935,506,627,269,0,0,0,108,261,166,133,63
containment,1000,134,0.0720817,[0.01,0.1),8,10321,4021,0.389594,4021,0,0,0,1093,2138,1254,1066,749,218,0,0,0,66,213,195,209,99
containment,1000,135,0.000101954,[0,0.001),8,102,29,0.284314,29,0,0,0,7,3,0,0,63,29,0,0,0,7,3,0,0,63
containment,1000,136,0.722501,[0.5,1.0],8,15057,2341,0.155476,2341,0,0,0,645,2321,2655,3644,3451,78,0,0,0,3,75,137,293,414
containment,1000,137,0.000941578,[0,0.001),8,942,394,0.418259,394,0,0,6,87,74,21,0,360,394,0,0,6,87,74,21,0,360
containment,1000,138,0.126858,[0.1,0.5),8,12609,4204,0.333413,4204,0,0,4,1605,2817,1660,1365,954,183,0,0,0,70,179,187,248,133
containment,1000,139,0.00727674,[0.001,0.01),8,5389,2242,0.416033,2242,0,0,20,957,1100,411,145,514,276,0,0,1,167,273,149,49,85
containment,1000,140,0.00837225,[0.001,0.01),8,5188,2628,0.506554,2628,0,0,7,866,781,311,78,517,368,0,0,0,160,235,138,36,63
containment,1000,141,0.00118147,[0.001,0.01),8,1180,512,0.433898,512,0,0,0,70,66,27,5,500,418,0,0,0,67,57,26,5,427
containment,1000,142,0.00229197,[0.001,0.01),8,2212,1109,0.501356,1109,0,0,22,283,226,61,10,501,432,0,0,7,138,131,48,6,238
containment,1000,143,0.00382928,[0.001,0.01),8,3183,1530,0.480679,1530,0,0,7,466,483,146,49,502,375,0,0,3,141,215,94,34,138
containment,1000,144,0.722501,[0.5,1.0],8,13953,2694,0.193077,2694,0,0,0,801,2574,2389,2894,2601,116,0,0,0,9,85,142,280,368
containment,1000,145,0.00392024,[0.001,0.01),8,3343,1345,0.402333,1345,0,0,11,501,546,251,182,507,265,0,0,1,150,216,119,102,147
containment,1000,146,0.0720817,[0.01,0.1),8,10745,4207,0.391531,4207,0,0,9,1449,2351,1163,918,648,188,0,0,1,77,230,232,190,82
containment,1000,147,0.168734,[0.1,0.5),8,10172,4097,0.402772,4097,0,0,26,1662,2310,875,507,695,143,0,0,0,59,273,221,208,96
containment,1000,148,0.000830628,[0,0.001),8,831,385,0.463297,385,0,0,1,75,44,7,1,318,385,0,0,1,75,44,7,1,318
containment,1000,149,0.0630008,[0.01,0.1),8,9483,3671,0.387114,3671,0,0,23,1205,1943,1086,978,577,134,0,0,0,63,212,257,298,36
containment,1000,150,0.000239893,[0,0.001),8,240,80,0.333333,80,0,0,0,15,14,0,1,130,80,0,0,0,15,14,0,1,130
containment,1000,151,0.00442502,[0.001,0.01),8,3828,1813,0.473615,1813,0,0,29,638,608,170,64,506,384,0,0,3,165,214,69,34,131
containment,1000,152,0.126858,[0.1,0.5),8,13700,4229,0.308686,4229,0,0,5,1938,3335,1916,1397,880,148,0,0,0,73,198,226,243,112
containment,1000,153,0.168734,[0.1,0.5),8,14488,3549,0.244961,3549,0,0,7,1990,4019,2179,1623,1121,139,0,0,0,36,222,198,277,128
containment,1000,154,0.168734,[0.1,0.5),8,14449,3705,0.256419,3705,0,0,7,1808,3855,2140,1723,1211,167,0,0,0,53,202,187,236,155
containment,1000,155,0.000837625,[0,0.001),8,837,342,0.408602,342,0,0,3,88,64,11,3,326,342,0,0,3,88,64,11,3,326
containment,1000,156,1.79919e-05,[0,0.001),8,18,3,0.166667,3,0,0,1,0,0,0,0,14,3,0,0,1,0,0,0,0,14
containment,1000,157,0.0055785,[0.001,0.01),8,4358,1822,0.418082,1822,0,0,13,683,814,349,168,509,286,0,0,0,152,241,153,72,96
containment,1000,158,4.19812e-05,[0,0.001),8,42,11,0.261905,11,0,0,0,3,0,0,0,28,11,0,0,0,3,0,0,0,28
containment,1000,159,0.252526,[0.1,0.5),8,13741,3476,0.252966,3476,0,0,4,2041,3796,1916,1427,1081,160,0,0,0,66,225,201,230,118
containment,1000,160,0.00459094,[0.001,0.01),8,3786,1858,0.490755,1858,0,0,3,598,586,170,68,503,382,0,0,1,162,227,90,36,102
containment,1000,161,0.000135939,[0,0.001),8,136,34,0.25,34,0,0,0,11,10,2,0,79,34,0,0,0,11,10,2,0,79
containment,1000,162,0.0898338,[0.01,0.1),8,11237,3686,0.328023,3686,0,0,5,1385,2473,1512,1557,619,130,0,0,0,49,206,249,296,70
containment,1000,163,0.722501,[0.5,1.0],8,13688,2945,0.215152,2945,0,0,3,1049,2977,2219,2450,2045,60,0,0,0,15,88,177,302,358
containment,1000,164,0.168734,[0.1,0.5),8,14484,3493,0.241163,3493,0,0,4,1820,4071,2207,1714,1175,120,0,0,0,37,232,218,253,140
containment,1000,165,9.49575e-05,[0,0.001),8,95,24,0.252632,24,0,0,0,3,4,0,0,64,24,0,0,0,3,4,0,0,64
containment,1000,166,0.0144715,[0.01,0.1),8,7623,3492,0.458087,3492,0,0,44,1462,1428,544,119,534,297,0,0,1,171,289,143,42,57
containment,1000,167,0.00481884,[0.001,0.01),8,3993,1776,0.444778,1776,0,0,16,721,687,210,73,510,300,0,0,0,182,261,96,35,126
containment,1000,168,0.000164926,[0,0.001),8,165,48,0.290909,48,0,0,0,7,2,4,0,104,48,0,0,0,7,2,4,0,104
containment,1000,169,0.0116068,[0.01,0.1),8,6193,3026,0.488616,3026,0,0,15,1023,1043,398,172,516,343,0,0,1,138,240,149,66,63
containment,1000,170,9.49575e-05,[0,0.001),8,95,23,0.242105,23,0,0,0,4,4,0,0,64,23,0,0,0,4,4,0,0,64
containment,1000,171,0.252526,[0.1,0.5),8,14624,3320,0.227024,3320,0,0,1,2140,4236,2160,1576,1191,139,0,0,0,58,229,222,226,126
containment,1000,172,0.02016,[0.01,0.1),8,8740,3907,0.447025,3907,0,0,2,1135,1814,865,452,565,275,0,0,0,98,273,186,123,45
containment,1000,173,0.000702685,[0,0.001),8,703,358,0.509246,358,0,0,13,74,20,4,2,232,358,0,0,13,74,20,4,2,232
containment,1000,174,0.00352642,[0.001,0.01),8,3163,1265,0.399937,1265,0,0,1,473,576,207,138,503,302,0,0,0,155,215,110,68,150
containment,1000,175,0.00595433,[0.001,0.01),8,4460,2125,0.476457,2125,0,0,21,741,702,276,87,508,313,0,0,2,152,244,135,48,106
containment,1000,176,0.722501,[0.5,1.0],8,14333,2857,0.19933,2857,0,0,0,737,2445,2359,3060,2875,84,0,0,0,9,94,164,300,349
containment,1000,177,0.0060273,[0.001,0.01),8,4513,2491,0.551961,2491,0,0,64,821,528,85,17,507,456,0,0,4,214,184,44,11,87
containment,1000,178,0.0360648,[0.01,0.1),8,10175,4138,0.406683,4138,0,0,9,1415,2296,1077,650,590,236,0,0,0,77,241,209,182,55
containment,1000,179,0.00295168,[0.001,0.01),8,2675,1256,0.469533,1256,0,0,4,413,332,118,48,504,388,0,0,1,163,175,64,34,175
containment,1000,180,0.00103654,[0.001,0.01),8,1037,511,0.492768,511,0,0,1,102,66,8,4,345,492,0,0,1,101,66,8,4,328
containment,1000,181,0.722501,[0.5,1.0],8,14244,2937,0.206192,2937,0,0,1,920,2999,2424,2752,2211,65,0,0,0,12,98,168,331,326
containment,1000,182,0.126858,[0.1,0.5),8,11730,4193,0.35746,4193,0,0,3,1522,2476,1517,1159,860,172,0,0,0,60,186,214,252,116
containment,1000,183,0.252526,[0.1,0.5),8,13727,3783,0.275588,3783,0,0,1,1665,3274,1945,1680,1379,149,0,0,0,48,194,190,234,185
containment,1000,184,0.000860614,[0,0.001),8,860,349,0.405814,349,0,0,3,83,72,16,3,334,349,0,0,3,83,72,16,3,334
