GT,Result
3264348 3264346 3264332 3264328 3264340 3264336 3264347 3264343 3264331 3264339 ,3264348 3264346 3264332 3264328 3264340 3264336 3264347 3264343 3264331 3264339 
3581253 3581259 3581252 3581266 3581247 3581249 3581246 3581248 3581265 3581251 ,3581253 3581259 3581252 3581266 3581247 3581249 3581246 3581248 3581265 3581251 
4796302 4796297 4796301 3954753 4796304 4796298 4796295 4796299 3954750 3954751 ,4796302 4796297 4796301 3954753 4796304 4796298 4796295 4796299 3954750 3954751 
1877104 1877087 1877106 1877105 1877103 1877102 1877090 1877095 1877097 1877089 ,1877104 1877087 1877106 1877105 1877103 1877102 1877090 1877095 1877097 1877089 
2481332 2481345 2481348 2481347 2481327 2481329 2481344 2481346 2481341 2481331 ,2481332 2481345 2481348 2481347 2481327 2481329 2481344 2481346 2481341 2481331 
3890670 3890667 3890657 3890655 3890660 3890661 3890658 3890673 3890652 3890669 ,3890670 3890667 3890657 3890655 3890660 3890661 3890658 3890673 3890652 3890669 
3514439 3514435 3514443 3514455 3514451 3514444 3514441 3514449 3514442 3514434 ,3514439 3514435 3514443 3514455 3514451 3514444 3514441 3514449 3514442 3514434 
3768832 3768829 3768831 3768821 3768822 3768823 3768839 3768837 3768825 3768830 ,3768832 3768829 3768831 3768821 3768822 3768823 3768839 3768837 3768825 3768830 
1506419 1506420 1506416 1506412 1506415 1506429 1506422 1506427 1506428 1506417 ,1506419 1506420 1506416 1506412 1506415 1506429 1506422 1506427 1506428 1506417 
4295602 4295606 4295608 4295609 4295592 4295601 4295599 4295597 4295596 4295600 ,4295602 4295606 4295608 4295609 4295592 4295601 4295599 4295597 4295596 4295600 
2254186 2254187 2254188 2254175 2254181 2254182 2254185 2254183 2254184 2254179 ,2254186 2254187 2254188 2254175 2254181 2254182 2254185 2254183 2254184 2254179 
1664573 1664571 1664572 1664575 1664588 1664590 1664589 1664587 1664576 1664580 ,1664573 1664571 1664572 1664575 1664588 1664590 1664589 1664587 1664576 1664580 
4913161 4913168 4913160 4913155 4913166 4913169 4913164 4913163 4913165 4913172 ,4913161 4913168 4913160 4913155 4913166 4913169 4913164 4913163 4913165 4913172 
3709487 3709481 3709488 3709480 3709478 3709468 3709474 3709479 3709469 3709477 ,3709487 3709481 3709488 3709480 3709478 3709468 3709474 3709479 3709469 3709477 
1362164 1362161 1362171 1362168 1362176 1362159 1362162 1362165 1362167 1362169 ,1362164 1362161 1362171 1362168 1362176 1362159 1362162 1362165 1362167 1362169 
3075757 3075761 3075756 3075746 3075744 3075742 3075745 3075762 3075760 3075759 ,3075757 3075761 3075756 3075746 3075744 3075742 3075745 3075762 3075760 3075759 
3715377 3715371 3715381 3715384 3715372 3715385 3715375 3715386 3715387 3715374 ,3715377 3715371 3715381 3715384 3715372 3715385 3715375 3715386 3715387 3715374 
4263258 4263267 4263257 4263248 4263261 4263247 4263259 4263264 4263260 4263263 ,4263258 4263267 4263257 4263248 4263261 4263247 4263259 4263264 4263260 4263263 
4887452 4887442 4887447 4887451 4887434 4887449 4887435 4887440 4887439 4887453 ,4887452 4887442 4887447 4887451 4887434 4887449 4887435 4887440 4887439 4887453 
1831322 1831327 1831321 1831323 1831329 1831330 1831313 1831315 1831317 1831324 ,1831322 1831327 1831321 1831323 1831329 1831330 1831313 1831315 1831317 1831324 
4541048 4541056 4541044 4541047 4541046 4541061 4541049 4541062 4541045 4541043 ,4541048 4541056 4541044 4541047 4541046 4541061 4541049 4541062 4541045 4541043 
4283481 4283467 4283484 4283483 4283468 4283482 4283466 4283485 4283469 4283465 ,4283481 4283467 4283484 4283483 4283468 4283482 4283466 4283485 4283469 4283465 
630447 630459 630437 630443 630438 630441 630444 630448 630449 630458 ,630447 630459 630437 630443 630438 630441 630444 630448 630449 630458 
3999773 3999781 3999768 3999780 3999785 3999786 3999783 3999775 3999776 3999788 ,3999773 3999781 3999768 3999780 3999785 3999786 3999783 3999775 3999776 3999788 
2674049 2674040 2674031 2674051 2674034 2674037 2674041 2674036 2674050 2674038 ,2674049 2674040 2674031 2674051 2674034 2674037 2674041 2674036 2674050 2674038 
4503090 4503099 4503106 4503097 4503104 4503085 4503100 4503098 4503105 4503101 ,4503090 4503099 4503106 4503097 4503104 4503085 4503100 4503098 4503105 4503101 
3531932 3531929 3531933 3531939 3531934 3531935 3531930 3531931 3531936 3531924 ,3531932 3531929 3531933 3531939 3531934 3531935 3531930 3531931 3531936 3531924 
2407123 2407118 2407126 2407119 2407109 2407117 2407129 2407115 2407125 2407128 ,2407123 2407118 2407126 2407119 2407109 2407117 2407129 2407115 2407125 2407128 
4632733 4632713 4632715 4632722 4632719 4632714 4632718 4632720 4632728 4632731 ,4632733 4632713 4632715 4632722 4632719 4632714 4632718 4632720 4632728 4632731 
4762805 4762804 4762790 4762793 4762803 4762801 4762788 4762789 4762808 4762807 ,4762805 4762804 4762790 4762793 4762803 4762801 4762788 4762789 4762808 4762807 
4215459 4215458 4215456 4215441 4215451 4215454 4215449 4215448 4215455 4215445 ,4215459 4215458 4215456 4215441 4215451 4215454 4215449 4215448 4215455 4215445 
1054591 1054605 1054602 1054593 1054592 1054594 1054588 1054587 1054589 1054601 ,1054591 1054605 1054602 1054593 1054592 1054594 1054588 1054587 1054589 1054601 
4404190 4404202 4404200 4404191 4404193 4404199 4404186 4404203 4404183 4404201 ,4404190 4404202 4404200 4404191 4404193 4404199 4404186 4404203 4404183 4404201 
3593586 3593583 3593582 3593580 3593581 3593585 3593573 3593565 3593577 3593576 ,3593586 3593583 3593582 3593580 3593581 3593585 3593573 3593565 3593577 3593576 
2596770 2596776 2596771 2596763 2596779 2596768 2596769 2596780 2596764 2596765 ,2596770 2596776 2596771 2596763 2596779 2596768 2596769 2596780 2596764 2596765 
4107717 4107719 4107705 4107720 4107710 4107711 4107712 4107718 4107722 4107724 ,4107717 4107719 4107705 4107720 4107710 4107711 4107712 4107718 4107722 4107724 
1596239 1596249 1596238 1596254 1596248 1596247 1596252 1596235 1596237 1596244 ,1596239 1596249 1596238 1596254 1596248 1596247 1596252 1596235 1596237 1596244 
855154 855147 855153 855139 855136 855156 855146 855144 855149 855135 ,855154 855147 855153 855139 855136 855156 855146 855144 855149 855135 
3122711 3122707 3122715 3122720 3122706 3122723 3122704 3122709 3122714 3122702 ,3122711 3122707 3122715 3122720 3122706 3122723 3122704 3122709 3122714 3122702 
119840 119819 119839 119836 119834 119841 119821 119835 119837 119822 ,119840 119819 119839 119836 119834 119841 119821 119835 119837 119822 
1462732 1462730 1462727 1462731 1462728 1462729 1462733 1462726 1462738 1462737 ,1462732 1462730 1462727 1462731 1462728 1462729 1462733 1462726 1462738 1462737 
4971875 4971865 4971860 4971874 4971858 4971866 4971859 4971871 4971856 4971872 ,4971875 4971865 4971860 4971874 4971858 4971866 4971859 4971871 4971856 4971872 
3658644 3658649 3658646 3658641 3658637 3658650 3658643 3658656 3658648 3658655 ,3658644 3658649 3658646 3658641 3658637 3658650 3658643 3658656 3658648 3658655 
896097 896115 896104 896117 896103 896100 896107 896098 896102 896101 ,896097 896115 896104 896117 896103 896100 896107 896098 896102 896101 
2858695 2858693 2858690 2858703 2858689 2858691 2858700 2858702 2858694 2858696 ,2858695 2858693 2858690 2858703 2858689 2858691 2858700 2858702 2858694 2858696 
765032 765030 765022 765034 765026 765029 765023 765035 765042 765037 ,765032 765030 765022 765034 765026 765029 765023 765035 765042 765037 
767419 767425 767429 767428 767426 767412 767421 767411 767431 767418 ,767419 767425 767429 767428 767426 767412 767421 767411 767431 767418 
4385787 4385796 4385786 4385792 4385784 4385779 4385790 4385798 4385781 4385789 ,4385787 4385796 4385786 4385792 4385784 4385779 4385790 4385798 4385781 4385789 
4397046 4397037 4397032 4397038 4397033 4397045 4397039 4397035 4397031 4397051 ,4397046 4397037 4397032 4397038 4397033 4397045 4397039 4397035 4397031 4397051 
968156 968161 968165 968159 968163 968144 968166 968149 968148 968155 ,968156 968161 968165 968159 968163 968144 968166 968149 968148 968155 
1708436 1708446 1708435 1708431 1708433 1708426 1708444 1708432 1708437 1708440 ,1708436 1708446 1708435 1708431 1708433 1708426 1708444 1708432 1708437 1708440 
2251670 2251672 2251654 2251652 2251656 2251657 2251661 2251669 2251668 2251655 ,2251670 2251672 2251654 2251652 2251656 2251657 2251661 2251669 2251668 2251655 
4988124 4988119 4988128 4988137 4988135 4988120 4988127 4988123 4988125 4988118 ,4988124 4988119 4988128 4988137 4988135 4988120 4988127 4988123 4988125 4988118 
3933681 3933685 3933688 3933686 3933679 3933682 3933680 3933693 3933684 3933692 ,3933681 3933685 3933688 3933686 3933679 3933682 3933680 3933693 3933684 3933692 
1206966 1206965 1206985 1206978 1206980 1206981 1206984 1206968 1206982 1206970 ,1206966 1206965 1206985 1206978 1206980 1206981 1206984 1206968 1206982 1206970 
4250857 4250858 4250841 4250846 4250849 4250839 4250854 4250855 4250838 4250850 ,4250857 4250858 4250841 4250846 4250849 4250839 4250854 4250855 4250838 4250850 
509303 509307 509306 509309 509318 509305 509308 509302 509316 509319 ,509303 509307 509306 509309 509318 509305 509308 509302 509316 509319 
4358840 4358846 4358838 4358850 4358835 4358852 4358834 4358855 4358839 4358833 ,4358840 4358846 4358838 4358850 4358835 4358852 4358834 4358855 4358839 4358833 
3747100 3747104 3747105 3747099 3747101 3747102 3747097 3747103 3747098 3747113 ,3747100 3747104 3747105 3747099 3747101 3747102 3747097 3747103 3747098 3747113 
4437450 4437454 4437444 4437453 4437436 4437446 4437443 4437433 4437445 4437439 ,4437450 4437454 4437444 4437453 4437436 4437446 4437443 4437433 4437445 4437439 
1666624 1666626 1666631 1666636 1666623 1666618 1666629 1666639 1666633 1666640 ,1666624 1666626 1666631 1666636 1666623 1666618 1666629 1666639 1666633 1666640 
2971937 2971922 2971938 2971935 2971940 2971943 2971941 2971927 2971942 2971939 ,2971937 2971922 2971938 2971935 2971940 2971943 2971941 2971927 2971942 2971939 
4887950 4887945 4887957 4887954 4887943 4887939 4887938 4887941 4887936 4887947 ,4887950 4887945 4887957 4887954 4887943 4887939 4887938 4887941 4887936 4887947 
4138273 4138263 4138277 4138278 4138261 4138264 4138275 4138282 4138267 4138269 ,4138273 4138263 4138277 4138278 4138261 4138264 4138275 4138282 4138267 4138269 
3378745 3378765 3378747 3378754 3378756 3378748 3378761 3378753 3378759 3378757 ,3378745 3378765 3378747 3378754 3378756 3378748 3378761 3378753 3378759 3378757 
4921715 4921695 4921693 4921709 4921711 4921692 4921710 4921714 4921701 4921712 ,4921715 4921695 4921693 4921709 4921711 4921692 4921710 4921714 4921701 4921712 
547326 547330 547331 547342 547329 547328 547343 547345 547339 547335 ,547326 547330 547331 547342 547329 547328 547343 547345 547339 547335 
3444833 3444840 3444816 3444822 3444827 3444832 3444831 3444828 3444824 3444821 ,3444833 3444840 3444816 3444822 3444827 3444832 3444831 3444828 3444824 3444821 
3504128 3504139 3504130 3504132 3504126 3504120 3504138 3504118 3504141 3504129 ,3504128 3504139 3504130 3504132 3504126 3504120 3504138 3504118 3504141 3504129 
2946545 2946529 2946528 2946546 2946527 2946523 2946534 2946542 2946531 2946537 ,2946545 2946529 2946528 2946546 2946527 2946523 2946534 2946542 2946531 2946537 
4502466 4502480 4502467 4502469 4502476 4502468 4502479 4502483 4502478 4502473 ,4502466 4502480 4502467 4502469 4502476 4502468 4502479 4502483 4502478 4502473 
2004712 2004717 2004735 2004721 2004720 2004731 2004724 2004722 2004715 2004719 ,2004712 2004717 2004735 2004721 2004720 2004731 2004724 2004722 2004715 2004719 
4214779 4214768 4214777 4214783 4214776 4214782 4214786 4214773 4214781 4214767 ,4214779 4214768 4214777 4214783 4214776 4214782 4214786 4214773 4214781 4214767 
2580478 2580479 2580497 2580498 2580482 2580483 2580499 2580476 2580486 2580493 ,2580478 2580479 2580497 2580498 2580482 2580483 2580499 2580476 2580486 2580493 
2248335 2248327 2248333 2248319 2248326 2248334 2248332 2248320 2248324 2248328 ,2248335 2248327 2248333 2248319 2248326 2248334 2248332 2248320 2248324 2248328 
2140895 2140892 2140897 2140894 2140902 2140893 2140888 2140889 2140898 2140905 ,2140895 2140892 2140897 2140894 2140902 2140893 2140888 2140889 2140898 2140905 
4114368 4114380 4114386 4114374 4114363 4114382 4114379 4114381 4114367 4114377 ,4114368 4114380 4114386 4114374 4114363 4114382 4114379 4114381 4114367 4114377 
2209235 2209229 2209244 2209238 2209228 2209232 2209240 2209236 2209225 2209241 ,2209235 2209229 2209244 2209238 2209228 2209232 2209240 2209236 2209225 2209241 
3978351 3978349 3978344 3978345 3978334 3978348 3978337 3978342 3978336 3978352 ,3978351 3978349 3978344 3978345 3978334 3978348 3978337 3978342 3978336 3978352 
3487477 3487476 3487485 3487473 3487486 3487484 3487481 3487488 3487483 3487480 ,3487477 3487476 3487485 3487473 3487486 3487484 3487481 3487488 3487483 3487480 
3737551 3737527 3737531 3737539 3737550 3737547 3737528 3737529 3737546 3737530 ,3737551 3737527 3737531 3737539 3737550 3737547 3737528 3737529 3737546 3737530 
3371438 3371439 3371428 3371434 3371436 3371418 3371426 3371422 3371429 3371435 ,3371438 3371439 3371428 3371434 3371436 3371418 3371426 3371422 3371429 3371435 
1953984 1953983 1953989 1953990 1953994 1953998 1953996 1953993 1953995 1954001 ,1953984 1953983 1953989 1953990 1953994 1953998 1953996 1953993 1953995 1954001 
725041 725044 725029 725033 725045 725039 725025 725034 725038 725042 ,725041 725044 725029 725033 725045 725039 725025 725034 725038 725042 
554922 554913 554918 554927 554912 554909 554919 554924 554911 554907 ,554922 554913 554918 554927 554912 554909 554919 554924 554911 554907 
4262433 4262444 4262446 4262427 4262426 4262439 4262441 4262436 4262435 4262440 ,4262433 4262444 4262446 4262427 4262426 4262439 4262441 4262436 4262435 4262440 
3125724 3125732 3125729 3125746 3125725 3125741 3125727 3125748 3125739 3125740 ,3125724 3125732 3125729 3125746 3125725 3125741 3125727 3125748 3125739 3125740 
2532283 2532271 2532285 2532288 2532270 2532282 2532268 2532275 2532289 2532266 ,2532283 2532271 2532285 2532288 2532270 2532282 2532268 2532275 2532289 2532266 
890577 890571 890568 890588 890570 890580 890582 890572 890569 890567 ,890577 890571 890568 890588 890570 890580 890582 890572 890569 890567 
4922806 4922807 4922808 4922801 4922814 4922800 4922799 4922795 4922796 4922797 ,4922806 4922807 4922808 4922801 4922814 4922800 4922799 4922795 4922796 4922797 
3123624 3123603 3123618 3123619 3123605 3123625 3123614 3123621 3123626 3123620 ,3123624 3123603 3123618 3123619 3123605 3123625 3123614 3123621 3123626 3123620 
3419365 3419355 3419356 3419353 3419352 3419372 3419373 3419354 3419366 3419376 ,3419365 3419355 3419356 3419353 3419352 3419372 3419373 3419354 3419366 3419376 
2111197 2111196 2111180 2111182 2111192 2111189 2111173 2111183 2111190 2111176 ,2111197 2111196 2111180 2111182 2111192 2111189 2111173 2111183 2111190 2111176 
3283911 3283905 3283903 3283909 3283916 3283910 3283895 3283906 3283907 3283915 ,3283911 3283905 3283903 3283909 3283916 3283910 3283895 3283906 3283907 3283915 
3345328 3345327 3345329 3345323 3345304 3345326 3345322 3345312 3345325 3345319 ,3345328 3345327 3345329 3345323 3345304 3345326 3345322 3345312 3345325 3345319 
2491359 2491358 2491360 2491356 2491364 2491366 2491357 2491354 2491350 2491361 ,2491359 2491358 2491360 2491356 2491364 2491366 2491357 2491354 2491350 2491361 
2599440 2599432 2599433 2599431 2599442 2599441 2599449 2599438 2599430 2599429 ,2599440 2599432 2599433 2599431 2599442 2599441 2599449 2599438 2599430 2599429 
2238257 2238258 2238253 2238255 2238249 2238250 2238256 2238241 2238251 2238261 ,2238257 2238258 2238253 2238255 2238249 2238250 2238256 2238241 2238251 2238261 
4311286 4311279 4311289 4311284 4311302 4311301 4311291 4311299 4311288 4311297 ,4311286 4311279 4311289 4311284 4311302 4311301 4311291 4311299 4311288 4311297 
3936818 3936825 3936815 3936816 3936808 3936804 3936821 3936814 3936801 3936803 ,3936818 3936825 3936815 3936816 3936808 3936804 3936821 3936814 3936801 3936803 
1104256 1104237 1104258 1104252 1104249 1104238 1104240 1104246 1104236 1104253 ,1104256 1104237 1104258 1104252 1104249 1104238 1104240 1104246 1104236 1104253 
1963400 1963404 1963413 1963418 1963416 1963396 1963410 1963412 1963394 1963405 ,1963400 1963404 1963413 1963418 1963416 1963396 1963410 1963412 1963394 1963405 
2607659 2607663 2607658 2607657 2607656 2607654 2607653 2607661 2607660 2607645 ,2607659 2607663 2607658 2607657 2607656 2607654 2607653 2607661 2607660 2607645 
3850981 3850979 3850980 3850983 3850978 3850986 3850970 3850962 3850961 3850977 ,3850981 3850979 3850980 3850983 3850978 3850986 3850970 3850962 3850961 3850977 
2222844 2222840 2222833 2222834 2222831 2222838 2222828 2222839 2222829 2222842 ,2222844 2222840 2222833 2222834 2222831 2222838 2222828 2222839 2222829 2222842 
2539158 2539159 2539163 2539167 2539161 2539177 2539160 2539180 2539182 2539169 ,2539158 2539159 2539163 2539167 2539161 2539177 2539160 2539180 2539182 2539169 
3517624 3517622 3517626 3517609 3517612 3517621 3517618 3517627 3517613 3517628 ,3517624 3517622 3517626 3517609 3517612 3517621 3517618 3517627 3517613 3517628 
2222061 2222045 2222050 2222060 2222054 2222057 2222041 2222046 2222053 2222049 ,2222061 2222045 2222050 2222060 2222054 2222057 2222041 2222046 2222053 2222049 
1399210 1399188 1399202 1399211 1399207 1399187 1399193 1399195 1399189 1399194 ,1399210 1399188 1399202 1399211 1399207 1399187 1399193 1399195 1399189 1399194 
2882279 2882278 4545120 4545121 4545123 4545118 4545119 2882277 2882276 4545124 ,2882279 2882278 4545120 4545121 4545123 4545118 4545119 2882277 2882276 4545124 
3866630 3866629 3866623 3866618 3866622 3866621 3866620 3866619 3866633 3866610 ,3866630 3866629 3866623 3866618 3866622 3866621 3866620 3866619 3866633 3866610 
2004811 2004810 2004819 2004803 2004822 2004815 2004807 2004804 2004820 2004817 ,2004811 2004810 2004819 2004803 2004822 2004815 2004807 2004804 2004820 2004817 
3788980 3788974 3788976 3788969 3788962 3788983 3788959 3788961 3788971 3788968 ,3788980 3788974 3788976 3788969 3788962 3788983 3788959 3788961 3788971 3788968 
2173019 2173028 2173018 2173020 2173030 2173025 2173036 2173037 2173016 2173015 ,2173019 2173028 2173018 2173020 2173030 2173025 2173036 2173037 2173016 2173015 
2689288 2689275 2689289 2689287 2689282 2689286 2689290 2689291 2689279 2689293 ,2689288 2689275 2689289 2689287 2689282 2689286 2689290 2689291 2689279 2689293 
4071369 4071365 4071355 4071366 4071363 4071360 4071359 4071364 4071350 4071362 ,4071369 4071365 4071355 4071366 4071363 4071360 4071359 4071364 4071350 4071362 
4803819 4803813 4803812 4803820 4803811 4803826 4803821 4803829 4803832 4803834 ,4803819 4803813 4803812 4803820 4803811 4803826 4803821 4803829 4803832 4803834 
3664204 3664218 3664217 3664220 3664221 3664210 3664202 3664206 3664216 3664219 ,3664204 3664218 3664217 3664220 3664221 3664210 3664202 3664206 3664216 3664219 
1953421 1953422 1953419 1953423 1953411 1953417 1953414 1953420 1953418 1953399 ,1953421 1953422 1953419 1953423 1953411 1953417 1953414 1953420 1953418 1953399 
858076 858078 858081 858073 858072 858069 858075 858080 858079 858074 ,858076 858078 858081 858073 858072 858069 858075 858080 858079 858074 
63664 63653 63660 63655 63652 63662 63650 63640 63663 63648 ,63664 63653 63660 63655 63652 63662 63650 63640 63663 63648 
4612738 4612740 4612739 4612753 4612743 4612748 4612749 4612741 4612760 4612735 ,4612738 4612740 4612739 4612753 4612743 4612748 4612749 4612741 4612760 4612735 
3724311 3724317 3724318 3724313 3724315 3724302 3724301 3724305 3724295 3724309 ,3724311 3724317 3724318 3724313 3724315 3724302 3724301 3724305 3724295 3724309 
1747012 1747004 1747005 1747014 1746999 1747017 1747001 1747018 1747003 1747008 ,1747012 1747004 1747005 1747014 1746999 1747017 1747001 1747018 1747003 1747008 
3356521 3356525 3356519 3356531 3356522 3356533 3356524 3356520 3356509 3356529 ,3356521 3356525 3356519 3356531 3356522 3356533 3356524 3356520 3356509 3356529 
4459033 4459055 4459050 4459035 4459051 4459057 4459047 4459034 4459052 4459054 ,4459033 4459055 4459050 4459035 4459051 4459057 4459047 4459034 4459052 4459054 
4222765 4222769 4222757 4222764 4222749 4222768 4222759 4222766 4222770 4222771 ,4222765 4222769 4222757 4222764 4222749 4222768 4222759 4222766 4222770 4222771 
2338943 2338941 2338945 2338920 2338940 2338938 2338937 2338922 2338926 2338934 ,2338943 2338941 2338945 2338920 2338940 2338938 2338937 2338922 2338926 2338934 
2224287 2224283 2224286 2224276 2224279 2224262 2224288 2224275 2224273 2224274 ,2224287 2224283 2224286 2224276 2224279 2224262 2224288 2224275 2224273 2224274 
2583464 2583465 2583482 2583488 2583473 2583485 2583476 2583481 2583467 2583483 ,2583464 2583465 2583482 2583488 2583473 2583485 2583476 2583481 2583467 2583483 
